Zona,Provincia,Canton,Distrito,Circuito,Fecha Infracci¢n,Hora Infracci¢n,tipo_muert_matriz,Edad,Sexo,Estado Civil,Nacionalidad
ZONA 9,PICHINCHA,QUITO,ELOY ALFARO,MAGDALENA,20/4/2014,1:40,Homicidios,18,MASCULINO,SOLTERO,ECUADOR
ZONA 1,ESMERALDAS,ESMERALDAS,ESMERALDAS,SANTA MARTHA,3/8/2014,22:00,Asesinatos,27,MASCULINO,SOLTERO,ECUADOR
ZONA 2,PICHINCHA,CAYAMBE,CAYAMBE,CAYAMBE SUR,3/8/2014,3:32,Asesinatos,19,MASCULINO,SOLTERO,ECUADOR
ZONA 9,PICHINCHA,QUITO,TUMBACO,PIFO,28/2/2014,6:25,Homicidios,42,MASCULINO,CASADO,ECUADOR
ZONA 9,PICHINCHA,QUITO,LA DELICIA,SAN ANTONIO BAJO,1/5/2014,22:15,Homicidios,20,MASCULINO,UNION LIBRE,ECUADOR
ZONA 9,PICHINCHA,QUITO,CALDERON,CALDERON,9/4/2014,20:30,Asesinatos,44,MASCULINO,SOLTERO,ECUADOR
ZONA 6,AZUAY,CUENCA,CUENCA NORTE,HERMANO MIGUEL,3/8/2014,15:30,Homicidios,41,MASCULINO,CASADO,ECUADOR
ZONA 5,GUAYAS,EL_TRIUNFO,EL TRIUNFO BUCAY,EL TRIUNFO ESTE,3/8/2014,16:00,Asesinatos,73,MASCULINO,CASADO,ECUADOR
ZONA 4,SANTO_DOMINGO_DE_LOS_TSACHILAS,SANTO_DOMINGO,SANTO DOMINGO ESTE,CRISTO VIVE,7/1/2014,20:00,Asesinatos,23,MASCULINO,SOLTERO,ECUADOR
ZONA 1,ESMERALDAS,SAN_LORENZO,SAN LORENZO,FRONTERA,27/1/2014,3:00,Asesinatos,31,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,PUEBLO_VIEJO,PUEBLOVIEJO,PUEBLO VIEJO,1/2/2014,13:30,Asesinatos,67,MASCULINO,SOLTERO,ECUADOR
ZONA 7,LOJA,MACARA,MACARA,MACARA,7/4/2014,9:30,Asesinatos,27,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,VALENCIA,BUENA FE,VALENCIA,12/4/2014,20:00,Asesinatos,49,MASCULINO,SOLTERO,ECUADOR
ZONA 7,EL_ORO,ARENILLAS,HUAQUILLAS,GUABILLO,13/1/2014,10:00,Homicidios,68,FEMENINO,CASADO,ECUADOR
ZONA 4,SANTO_DOMINGO_DE_LOS_TSACHILAS,LA_CONCORDIA,LA CONCORDIA,CONCORDIA NORTE,30/3/2014,3:00,Homicidios,32,MASCULINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,MILAGRO,MILAGRO,APOLO,1/1/2014,5:10,Asesinatos,36,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,9 DE OCTUBRE,VENEZUELA,19/2/2014,17:40,Homicidios,60,MASCULINO,SOLTERO,ECUADOR
ZONA 2,ORELLANA,PUERTO_FRANCISCO_DE_ORELLANA,ORELLANA LORETO,COCA OCCIDENTE,21/4/2014,21:00,Homicidios,42,MASCULINO,CASADO,COLOMBIA
ZONA 1,ESMERALDAS,QUININDE,QUININDE,CUBE,7/4/2014,21:00,Asesinatos,45,MASCULINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,MILAGRO,MILAGRO,SAN MIGUEL,9/4/2014,13:30,Asesinatos,55,MASCULINO,CASADO,ECUADOR
ZONA 7,LOJA,LOJA,LOJA,CLODOVEO JARAMILLO,17/3/2014,17:00,Asesinatos,45,MASCULINO,DIVORCIADO,ECUADOR
ZONA 5,LOS_RIOS,VINCES,VINCES,SANTA MARTHA,19/4/2014,22:00,Asesinatos,24,MASCULINO,SOLTERO,ECUADOR
ZONA 7,EL_ORO,MACHALA,MACHALA,PUERTO BOLIVAR,14/3/2014,6:00,Asesinatos,37,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,DURAN,DURAN,RECREO,21/2/2014,23:30,Asesinatos,24,MASCULINO,SOLTERO,ECUADOR
ZONA 7,LOJA,LOJA,LOJA,MALACATOS,9/3/2014,13:00,Asesinatos,62,MASCULINO,CASADO,ECUADOR
ZONA 5,LOS_RIOS,VINCES,VINCES,SANTA MARTHA,20/4/2014,2:30,Asesinatos,57,MASCULINO,SOLTERO,ECUADOR
ZONA 1,ESMERALDAS,SAN_LORENZO,SAN LORENZO,FRONTERA,8/1/2014,,Asesinatos,29,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PASCUALES,MONTE BELLO,22/2/2014,7:15,Asesinatos,15,MASCULINO,SOLTERO,ECUADOR
ZONA 7,EL_ORO,SANTA_ROSA,SANTA ROSA,TORATA,19/4/2014,2:00,Homicidios,14,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,VENTANAS,VENTANAS,VENTANAS SUR,16/2/2014,22:40,Asesinatos,17,MASCULINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,PEDRO_CARBO,PEDRO CARBO,PEDRO CARBO,20/3/2014,19:30,Asesinatos,29,MASCULINO,SOLTERO,ECUADOR
ZONA 7,EL_ORO,HUAQUILLAS,HUAQUILLAS,HUALTACO,19/1/2014,13:30,Asesinatos,30,MASCULINO,NO DETERMINADO,ECUADOR
ZONA 5,LOS_RIOS,SAN_JACINTO_DE_BUENA_FE,BUENA FE,BUENA FE OESTE,21/3/2014,16:00,Asesinatos,75,MASCULINO,CASADO,ECUADOR
ZONA 1,ESMERALDAS,ELOY_ALFARO,ELOY ALFARO,BORBON,4/5/2014,17:00,Asesinatos,31,MASCULINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,EL_EMPALME,EL EMPALME,EMPALME CENTRO,26/2/2014,9:00,Homicidios,53,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PORTETE,SUBURBIO,24/2/2014,2:00,Asesinatos,21,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,URDANETA,PUEBLOVIEJO,RICAURTE,15/4/2014,9:15,Asesinatos,33,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,QUEVEDO,QUEVEDO,GALO PLAZA,1/1/2014,9:30,Asesinatos,66,MASCULINO,CASADO,ECUADOR
ZONA 1,IMBABURA,COTACACHI,TIERRA DEL SOL,GARCIA MORENO,24/2/2014,0:00,Homicidios,37,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,SAMBORONDON,SAMBORONDON,SAMBORONDON,27/1/2014,16:30,Asesinatos,31,MASCULINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,SALITRE,SALITRE,SALITRE NORTE,23/2/2014,20:10,Asesinatos,25,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,ESTEROS,MALVINAS NORTE,14/2/2014,22:30,Asesinatos,23,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,FLORIDA,MARTHA DE ROLDOS,17/1/2014,2:50,Asesinatos,20,MASCULINO,SOLTERO,ECUADOR
ZONA 4,MANABI,SANTA_ANA,24 DE MAYO,SANTA ANA,9/2/2014,4:00,Homicidios,34,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PORTETE,SALINAS,3/2/2014,20:30,Sicariatos,36,MASCULINO,CASADO,ECUADOR
ZONA 1,ESMERALDAS,ESMERALDAS,ESMERALDAS,AIRE LIBRE,5/3/2014,0:40,Asesinatos,16,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,QUEVEDO,QUEVEDO,GALO PLAZA,20/1/2014,22:30,Asesinatos,35,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PASCUALES,BASTION POPULAR NORTE,17/1/2014,20:00,Asesinatos,26,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PORTETE,CISNE,31/1/2014,11:00,Asesinatos,36,MASCULINO,DIVORCIADO,ECUADOR
ZONA 7,EL_ORO,PASAJE,PASAJE,LAS PRADERAS,20/4/2014,3:15,Homicidios,66,MASCULINO,CASADO,ECUADOR
ZONA 5,LOS_RIOS,QUEVEDO,QUEVEDO,GALO PLAZA,21/1/2014,22:30,Asesinatos,17,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PROGRESO,PROGRESO,14/2/2014,20:00,Asesinatos,22,MASCULINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,COLIMES,BALZAR,COLIMES,19/4/2014,10:00,Asesinatos,30,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,NUEVA PROSPERINA,NUEVA PROSPERINA,2/3/2014,7:55,Asesinatos,30,MASCULINO,SOLTERO,ECUADOR
ZONA 4,MANABI,MANTA,MANTA,MARIA AUXILIADORA,31/3/2014,18:00,Asesinatos,58,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,ESTEROS,TRINITARIA SUR,24/1/2014,4:00,Asesinatos,35,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PORTETE,SALINAS,2/2/2014,20:30,Sicariatos,32,MASCULINO,UNION LIBRE,ECUADOR
ZONA 1,ESMERALDAS,ESMERALDAS,ESMERALDAS,SANTA MARTHA,5/5/2014,5:00,Asesinatos,79,MASCULINO,CASADO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,SUR,FLORESTA,4/1/2014,21:00,Homicidios,40,MASCULINO,SOLTERO,ECUADOR
ZONA 9,PICHINCHA,QUITO,EUGENIO ESPEJO,COCHAPAMBA,4/8/2014,13:45,Homicidios,24,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PORTETE,CISNE,1/2/2014,4:45,Homicidios,40,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,SUR,GUASMO,5/2/2014,20:30,Asesinatos,29,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PORTETE,SALINAS,1/2/2014,18:10,Asesinatos,20,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,ESTEROS,TRINITARIA NORTE,2/2/2014,22:00,Asesinatos,23,MASCULINO,SOLTERO,ECUADOR
ZONA 1,SUCUMBIOS,LAGO_AGRIO,LAGO AGRIO,SANTA CECILIA,4/8/2014,19:30,Asesinatos,40,MASCULINO,NO DETERMINADO,COLOMBIA
ZONA 8,GUAYAS,DURAN,DURAN,RECREO,4/8/2014,20:50,Asesinatos,33,MASCULINO,SOLTERO,ECUADOR
ZONA 1,IMBABURA,COTACACHI,TIERRA DEL SOL,IMANTAG,13/4/2014,7:30,Asesinatos,33,MASCULINO,NO DETERMINADO,COLOMBIA
ZONA 8,GUAYAS,GUAYAQUIL,FLORIDA,FLORIDA,25/1/2014,20:30,Asesinatos,17,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,SUR,FLORESTA,2/1/2014,23:30,Asesinatos,16,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,ESTEROS,TRINITARIA NORTE,11/1/2014,3:00,Asesinatos,19,MASCULINO,SOLTERO,ECUADOR
ZONA 4,MANABI,FLAVIO_ALFARO,CHONE,SAN FRANCISCO DE NOVILLO,18/4/2014,14:00,Asesinatos,35,MASCULINO,SOLTERO,ECUADOR
ZONA 2,ORELLANA,LA_JOYA_DE_LOS_SACHAS,LA JOYA DE LOS SACHAS,SACHAS,3/1/2014,4:00,Homicidios,58,MASCULINO,DIVORCIADO,ECUADOR
ZONA 5,LOS_RIOS,MOCACHE,QUEVEDO,ALEJO LASCANO,22/3/2014,16:00,Femicidios,35,FEMENINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PORTETE,CHALA,7/2/2014,,Asesinatos,42,MASCULINO,CASADO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,9 DE OCTUBRE,ANTEPARA,25/1/2014,13:00,Asesinatos,39,MASCULINO,SOLTERO,ECUADOR
ZONA 1,IMBABURA,IBARRA,CIUDAD BLANCA,AMAZONAS,1/3/2014,16:30,Homicidios,25,FEMENINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,SUR,FLORESTA,7/2/2014,22:30,Asesinatos,19,MASCULINO,SOLTERO,ECUADOR
ZONA 5,SANTA_ELENA,LA_LIBERTAD,LIBERTAD SALINAS,VIRGEN DEL CARMEN,19/3/2014,20:30,Asesinatos,24,MASCULINO,SOLTERO,ECUADOR
ZONA 1,ESMERALDAS,MUISNE,ATACAMES,CHAMANGA,9/3/2014,12:00,Asesinatos,43,MASCULINO,CASADO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PROGRESO,PROGRESO,7/1/2014,21:00,Asesinatos,48,MASCULINO,SOLTERO,ECUADOR
ZONA 5,BOLIVAR,GUARANDA,GUARANDA,SIMIATUG,19/7/2014,10:00,Homicidios,16,MASCULINO,SOLTERO,ECUADOR
ZONA 1,ESMERALDAS,ESMERALDAS,ESMERALDAS,CENTRO,12/3/2014,1:00,Asesinatos,42,MASCULINO,CASADO,ECUADOR
ZONA 7,EL_ORO,HUAQUILLAS,HUAQUILLAS,UNION LOJANA,5/5/2014,22:15,Asesinatos,23,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,DURAN,DURAN,ARBOLITO,17/1/2014,2:30,Asesinatos,21,MASCULINO,SOLTERO,ECUADOR
ZONA 1,ESMERALDAS,ESMERALDAS,ESMERALDAS,SANTA MARTHA,8/3/2014,20:00,Asesinatos,59,MASCULINO,SOLTERO,ECUADOR
ZONA 4,MANABI,PEDERNALES,PEDERNALES,PEDERNALES SUR,17/5/2014,18:31,Asesinatos,29,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,NUEVA PROSPERINA,FORTIN,12/1/2014,6:30,Asesinatos,28,MASCULINO,SOLTERO,ECUADOR
ZONA 7,EL_ORO,MACHALA,MACHALA,CRISTO DEL CONSUELO,28/4/2014,21:30,Asesinatos,,MASCULINO,SOLTERO,PERU
ZONA 8,GUAYAS,GUAYAQUIL,9 DE OCTUBRE,VENEZUELA,26/1/2014,8:00,Asesinatos,40,MASCULINO,SOLTERO,ECUADOR
ZONA 1,ESMERALDAS,RIO_VERDE,RIO VERDE,MONTALVO,27/4/2014,12:20,Asesinatos,36,MASCULINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,MILAGRO,MILAGRO,SAN MIGUEL,7/4/2014,13:30,Sicariatos,34,MASCULINO,UNION LIBRE,ECUADOR
ZONA 5,LOS_RIOS,MOCACHE,QUEVEDO,MOCACHE,2/2/2014,22:00,Asesinatos,31,MASCULINO,SOLTERO,ECUADOR
ZONA 7,EL_ORO,MACHALA,MACHALA,CRISTO DEL CONSUELO,28/4/2014,21:30,Asesinatos,27,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,SUR,FLORESTA,2/1/2014,11:30,Asesinatos,14,MASCULINO,SOLTERO,ECUADOR
ZONA 4,MANABI,JARAMIJO,MANTA,JARAMIJO,8/2/2014,22:00,Asesinatos,42,MASCULINO,DIVORCIADO,ECUADOR
ZONA 7,EL_ORO,PASAJE,PASAJE,VELASCO IBARRA,16/1/2014,23:30,Asesinatos,42,MASCULINO,DIVORCIADO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,9 DE OCTUBRE,CRISTO DEL CONSUELO,8/1/2014,6:00,Asesinatos,39,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PORTETE,PORTETE,4/1/2014,0:30,Asesinatos,20,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,SUR,FLORESTA,12/1/2014,,Asesinatos,35,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,NUEVA PROSPERINA,MONTE SINAI,3/3/2014,1:10,Asesinatos,35,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,BABA,BABAHOYO,BABA,18/1/2014,7:15,Asesinatos,53,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,DURAN,DURAN,RECREO,11/2/2014,,Asesinatos,42,FEMENINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PASCUALES,PASCUALES,29/1/2014,20:45,Asesinatos,18,MASCULINO,SOLTERO,ECUADOR
ZONA 4,SANTO_DOMINGO_DE_LOS_TSACHILAS,SANTO_DOMINGO,SANTO DOMINGO ESTE,CRISTO VIVE,6/3/2014,3:30,Asesinatos,28,MASCULINO,SOLTERO,ECUADOR
ZONA 1,ESMERALDAS,QUININDE,QUININDE,QUININDE,2/3/2014,9:00,Homicidios,38,MASCULINO,CASADO,ECUADOR
ZONA 7,EL_ORO,MACHALA,MACHALA,CRISTO DEL CONSUELO,28/4/2014,21:30,Asesinatos,29,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PORTETE,CHALA,19/1/2014,5:30,Asesinatos,35,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,QUEVEDO,QUEVEDO,7 DE OCTUBRE,17/3/2014,20:30,Asesinatos,55,MASCULINO,SOLTERO,ECUADOR
ZONA 1,IMBABURA,COTACACHI,TIERRA DEL SOL,COTACACHI,22/2/2014,9:30,Homicidios,84,MASCULINO,CASADO,ECUADOR
ZONA 2,ORELLANA,LA_JOYA_DE_LOS_SACHAS,LA JOYA DE LOS SACHAS,SACHAS,14/1/2014,21:00,Homicidios,28,FEMENINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PASCUALES,BASTION POPULAR NORTE,13/1/2014,22:30,Sicariatos,27,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,MODELO,SAUCES,3/3/2014,22:30,Homicidios,32,MASCULINO,SOLTERO,ECUADOR
ZONA 4,SANTO_DOMINGO_DE_LOS_TSACHILAS,SANTO_DOMINGO,SANTO DOMINGO ESTE,ALLURIQUIN,23/3/2014,5:30,Asesinatos,30,MASCULINO,SOLTERO,ECUADOR
ZONA 1,ESMERALDAS,QUININDE,QUININDE,CUBE,30/1/2014,11:00,Asesinatos,50,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,SUR,UNION DE BANANEROS,3/3/2014,23:40,Asesinatos,26,MASCULINO,SOLTERO,ECUADOR
ZONA 1,ESMERALDAS,RIO_VERDE,RIO VERDE,MONTALVO,4/2/2014,0:00,Asesinatos,26,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,SUR,UNION DE BANANEROS,12/1/2014,6:00,Asesinatos,37,MASCULINO,CASADO,ECUADOR
ZONA 2,ORELLANA,LA_JOYA_DE_LOS_SACHAS,LA JOYA DE LOS SACHAS,SAN SEBASTIAN,23/1/2014,6:00,Homicidios,29,MASCULINO,CASADO,ECUADOR
ZONA 4,MANABI,TOSAGUA,ROCAFUERTE,LA FLORIDA,2/4/2014,10:00,Homicidios,56,FEMENINO,DIVORCIADO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,NUEVA PROSPERINA,MONTE SINAI,5/8/2014,9:00,Asesinatos,60,MASCULINO,SOLTERO,ECUADOR
ZONA 7,EL_ORO,MACHALA,MACHALA,9 DE MAYO,28/1/2014,20:30,Asesinatos,26,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PASCUALES,BASTION POPULAR SUR,4/3/2014,4:00,Asesinatos,40,MASCULINO,SOLTERO,ECUADOR
ZONA 7,EL_ORO,MACHALA,MACHALA,CRISTO DEL CONSUELO,28/4/2014,20:10,Asesinatos,,MASCULINO,NO DETERMINADO,PERU
ZONA 5,LOS_RIOS,QUEVEDO,QUEVEDO,DIVINO NI¥O,5/1/2014,12:00,Asesinatos,24,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PASCUALES,PASCUALES,29/1/2014,19:30,Asesinatos,18,MASCULINO,SOLTERO,ECUADOR
ZONA 1,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI,LIMONCOCHA,3/2/2014,18:30,Homicidios,42,MASCULINO,CASADO,ECUADOR
ZONA 5,LOS_RIOS,QUEVEDO,QUEVEDO,CONTROL,20/1/2014,11:00,Asesinatos,67,MASCULINO,SOLTERO,ECUADOR
ZONA 9,PICHINCHA,QUITO,QUITUMBE,QUITUMBE,13/4/2014,12:10,Homicidios,72,MASCULINO,CASADO,ECUADOR
ZONA 4,MANABI,PICHINCHA,PICHINCHA,BARRAGANETE,13/4/2014,11:00,Asesinatos,30,MASCULINO,UNION LIBRE,ECUADOR
ZONA 5,SANTA_ELENA,SALINAS,LIBERTAD SALINAS,SALINAS CENTRO,15/2/2014,20:50,Asesinatos,39,MASCULINO,SOLTERO,ECUADOR
ZONA 7,EL_ORO,MACHALA,MACHALA,PAEZ,16/3/2014,1:00,Asesinatos,32,MASCULINO,CASADO,ECUADOR
ZONA 4,MANABI,MANTA,MANTA,TARQUI,10/1/2014,21:30,Asesinatos,29,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PASCUALES,ORQUIDEAS,15/1/2014,0:40,Asesinatos,28,MASCULINO,SOLTERO,ECUADOR
ZONA 2,PICHINCHA,PEDRO_VICENTE_MALDONADO,NOROCCIDENTE,MALDONADO,8/2/2014,10:00,Asesinatos,14,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,ESTEROS,ESTEROS,5/3/2014,1:15,Asesinatos,33,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PORTETE,PORTETE,20/1/2014,18:30,Asesinatos,36,MASCULINO,SOLTERO,ECUADOR
ZONA 4,MANABI,MANTA,MANTA,TARQUI,27/3/2014,21:15,Homicidios,27,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,SUR,UNION DE BANANEROS,15/1/2014,,Asesinatos,26,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,QUEVEDO,QUEVEDO,CONTROL,7/4/2014,19:30,Asesinatos,41,MASCULINO,SOLTERO,ECUADOR
ZONA 2,NAPO,TENA,TENA,MISAHUALLI,4/8/2014,19:30,Homicidios,58,MASCULINO,CASADO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,MODELO,URDESA,21/1/2014,12:15,Asesinatos,51,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,VINCES,VINCES,BALZAR DE VINCES,11/1/2014,19:10,Asesinatos,34,MASCULINO,SOLTERO,ECUADOR
ZONA 1,IMBABURA,OTAVALO,VALLE DEL AMANECER,LA CASCADA,5/8/2014,9:30,Homicidios,37,FEMENINO,CASADO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,NUEVA PROSPERINA,NUEVO GUAYAQUIL,6/8/2014,21:20,Asesinatos,21,MASCULINO,SOLTERO,ECUADOR
ZONA 3,PASTAZA,ARAJUNO,ARAJUNO,ARAJUNO SELVA,4/4/2014,10:00,Asesinatos,28,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,QUEVEDO,QUEVEDO,DIVINO NI¥O,5/1/2014,0:05,Asesinatos,19,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,DURAN,DURAN,RECREO,8/3/2014,3:00,Asesinatos,24,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,FLORIDA,MARTHA DE ROLDOS,2/1/2014,16:00,Homicidios,53,FEMENINO,SOLTERO,ECUADOR
ZONA 3,PASTAZA,ARAJUNO,ARAJUNO,ARAJUNO SELVA,4/4/2014,10:00,Asesinatos,31,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,VINCES,VINCES,BALZAR DE VINCES,24/2/2014,17:45,Homicidios,34,FEMENINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,QUEVEDO,QUEVEDO,DIVINO NI¥O,18/1/2014,23:30,Asesinatos,32,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,QUEVEDO,QUEVEDO,LA VALDRAMINA,24/4/2014,21:40,Asesinatos,33,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PASCUALES,PASCUALES,8/3/2014,20:00,Asesinatos,17,MASCULINO,SOLTERO,ECUADOR
ZONA 9,PICHINCHA,QUITO,LA DELICIA,LA BOTA,8/3/2014,23:00,Homicidios,29,MASCULINO,SOLTERO,ECUADOR
ZONA 6,MORONA_SANTIAGO,MORONA,MORONA,MACAS,10/1/2014,13:25,Asesinatos,16,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,QUEVEDO,QUEVEDO,CONTROL,26/4/2014,13:30,Asesinatos,34,MASCULINO,DIVORCIADO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,SUR,UNION DE BANANEROS,8/3/2014,23:30,Asesinatos,31,FEMENINO,SOLTERO,ECUADOR
ZONA 7,EL_ORO,MACHALA,MACHALA,RAYITO DE LUZ,4/1/2014,6:00,Homicidios,31,MASCULINO,SOLTERO,COLOMBIA
ZONA 5,LOS_RIOS,BABAHOYO,BABAHOYO,MATA DE CACAO,1/2/2014,21:30,Homicidios,62,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PROGRESO,PROGRESO,10/3/2014,20:40,Asesinatos,17,FEMENINO,SOLTERO,ECUADOR
ZONA 2,PICHINCHA,PUERTO_QUITO,NOROCCIDENTE,PUERTO QUITO NORTE,26/4/2014,17:55,Homicidios,57,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,BABAHOYO,BABAHOYO,SABANA,31/1/2014,14:00,Asesinatos,17,MASCULINO,SOLTERO,ECUADOR
ZONA 4,MANABI,PEDERNALES,PEDERNALES,PEDERNALES NORTE,7/5/2014,8:30,Asesinatos,36,MASCULINO,SOLTERO,ECUADOR
ZONA 3,COTOPAXI,LA_MANA,LA MANA,LA MANA SUR,14/1/2014,7:30,Asesinatos,23,FEMENINO,SOLTERO,ECUADOR
ZONA 3,COTOPAXI,LA_MANA,LA MANA,LA MANA SUR,14/1/2014,7:30,Asesinatos,37,FEMENINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,QUEVEDO,QUEVEDO,LA VALDRAMINA,27/4/2014,3:35,Asesinatos,22,MASCULINO,SOLTERO,ECUADOR
ZONA 3,COTOPAXI,LATACUNGA,LATACUNGA,BETHLEMITAS,21/1/2014,7:50,Asesinatos,12,FEMENINO,SOLTERO,ECUADOR
ZONA 9,PICHINCHA,QUITO,EUGENIO ESPEJO,UNIVERSITARIO,12/3/2014,1:30,Homicidios,22,FEMENINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,EL_EMPALME,EL EMPALME,EMPALME CENTRO,12/2/2014,0:00,Homicidios,67,FEMENINO,SOLTERO,ECUADOR
ZONA 4,MANABI,BOLIVAR,BOLIVAR JUNIN,CALCETA SUR,28/7/2014,0:00,Asesinatos,37,MASCULINO,SOLTERO,ECUADOR
ZONA 1,ESMERALDAS,ATACAMES,ATACAMES,TONCHIGUE,7/8/2014,0:00,Asesinatos,23,MASCULINO,SOLTERO,ECUADOR
