Zona,Provincia,Canton,Distrito,Circuito,Fecha Infracci¢n,Hora Infracci¢n,tipo_muert_matriz,Edad,Sexo,Estado Civil,Nacionalidad
ZONA 5,LOS_RIOS,VALENCIA,BUENA FE,LA NUEVA UNION,25/3/2014,11:30,Asesinatos,31,MASCULINO,SOLTERO,ECUADOR
ZONA 6,AZUAY,CAMILO_PONCE_ENRIQUEZ,PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,18/4/2014,6:30,Asesinatos,,MASCULINO,NO DETERMINADO,ECUADOR
ZONA 5,LOS_RIOS,SAN_JACINTO_DE_BUENA_FE,BUENA FE,BUENA FE ESTE,27/4/2014,15:00,Homicidios,34,MASCULINO,SOLTERO,ECUADOR
ZONA 9,PICHINCHA,QUITO,QUITUMBE,GUAMANI,1/1/2014,3:30,Homicidios,22,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,9 DE OCTUBRE,VICTORIA,24/4/2014,15:40,Asesinatos,22,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,PASCUALES,MONTE BELLO,29/3/2014,9:00,Asesinatos,74,MASCULINO,CASADO,CHILE
ZONA 9,PICHINCHA,QUITO,QUITUMBE,ECUATORIANA,1/4/2014,22:45,Homicidios,35,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,9 DE OCTUBRE,CHILE,24/4/2014,12:00,Asesinatos,36,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,ESTEROS,ESTEROS,13/3/2014,20:00,Asesinatos,31,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,SUR,GUASMO,31/3/2014,22:30,Sicariatos,28,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,DURAN,DURAN,ARBOLITO,1/8/2014,1:30,Homicidios,33,MASCULINO,SOLTERO,ECUADOR
ZONA 6,AZUAY,CUENCA,CUENCA SUR,SAN SEBASTIAN,28/2/2014,0:00,Asesinatos,11,FEMENINO,SOLTERO,ECUADOR
ZONA 3,CHIMBORAZO,RIOBAMBA,RIOBAMBA,LICTO,21/1/2014,17:00,Asesinatos,1,FEMENINO,SOLTERO,ECUADOR
ZONA 4,MANABI,PORTOVIEJO,PORTOVIEJO,EL GUABITO,9/2/2014,1:15,Asesinatos,42,MASCULINO,UNION LIBRE,ECUADOR
ZONA 5,GUAYAS,SALITRE,SALITRE,JUNQUILLAL,31/1/2014,22:00,Homicidios,33,FEMENINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,SUR,7 LAGOS,2/4/2014,13:30,Asesinatos,18,MASCULINO,SOLTERO,ECUADOR
ZONA 6,AZUAY,CUENCA,CUENCA NORTE,VERDE LOMA,17/4/2014,21:00,Asesinatos,47,MASCULINO,DIVORCIADO,ECUADOR
ZONA 5,GUAYAS,BALAO,NARANJAL BALAO,SAN CARLOS,22/1/2014,14:00,Asesinatos,26,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,NUEVA PROSPERINA,FLOR DE BASTION,27/4/2014,20:00,Asesinatos,32,FEMENINO,CASADO,ECUADOR
ZONA 7,EL_ORO,SANTA_ROSA,SANTA ROSA,TORATA,1/1/2014,17:00,Asesinatos,40,FEMENINO,SOLTERO,ECUADOR
ZONA 3,COTOPAXI,LATACUNGA,LATACUNGA,SAN CARLOS,21/2/2014,18:45,Asesinatos,44,MASCULINO,DIVORCIADO,ECUADOR
ZONA 9,PICHINCHA,QUITO,EUGENIO ESPEJO,COCHAPAMBA,29/3/2014,0:00,Homicidios,40,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,QUINSALOMA,VENTANAS,QUINSALOMA,2/2/2014,4:30,Asesinatos,35,MASCULINO,SOLTERO,ECUADOR
ZONA 9,PICHINCHA,QUITO,MANUELA SAENZ,MONJAS COLLACOTO,17/1/2014,11:30,Homicidios,29,MASCULINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,NARANJAL,NARANJAL BALAO,NARANJAL SUR,23/1/2014,15:30,Asesinatos,40,MASCULINO,SOLTERO,ECUADOR
ZONA 5,BOLIVAR,SAN_MIGUEL_DE_SALCEDO,SAN MIGUEL,BALSAPAMBA,15/3/2014,10:00,Asesinatos,47,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,NUEVA PROSPERINA,FLOR DE BASTION,27/4/2014,20:00,Asesinatos,33,MASCULINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,BALZAR,BALZAR,BALZAR CENTRO,2/3/2014,20:30,Homicidios,34,MASCULINO,SOLTERO,ECUADOR
ZONA 4,MANABI,EL_CARMEN,EL CARMEN,EL CARMEN,30/1/2014,5:20,Asesinatos,50,MASCULINO,SOLTERO,ECUADOR
ZONA 9,PICHINCHA,QUITO,EUGENIO ESPEJO,I¥AQUITO,28/4/2014,9:30,Homicidios,59,FEMENINO,CASADO,ECUADOR
ZONA 5,LOS_RIOS,VALENCIA,BUENA FE,VALENCIA,16/1/2014,14:20,Homicidios,35,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,NUEVA PROSPERINA,FLOR DE BASTION,7/4/2014,23:00,Asesinatos,30,MASCULINO,SOLTERO,ECUADOR
ZONA 9,PICHINCHA,QUITO,ELOY ALFARO,ARGELIA,18/1/2014,2:30,Homicidios,73,FEMENINO,VIUDO,ECUADOR
ZONA 1,IMBABURA,IBARRA,CIUDAD BLANCA,AMAZONAS,20/4/2014,12:00,Asesinatos,37,FEMENINO,SOLTERO,ECUADOR
